Date,Unemployment Rate (%),Estimated Employed,Labour Participation Rate (%)
2019-05-31,8.87425925925926,400148016.0,43.90296296296296
2019-06-30,9.303333333333333,397366645.0,43.75055555555556
2019-07-31,9.033888888888889,399838967.0,43.70666666666666
2019-08-31,9.637924528301888,399610205.0,43.64679245283019
2019-09-30,9.051730769230769,402452126.0,44.301346153846154
2019-10-31,9.90090909090909,401411032.0,44.00127272727273
2019-11-30,9.868363636363636,400051335.0,44.11054545454545
2019-12-31,9.497358490566038,391001555.0,43.66735849056604
2020-01-31,9.950754716981132,406899254.0,44.05132075471698
2020-02-29,9.964716981132076,403011803.0,43.72301886792453
2020-03-31,10.700576923076921,390862219.0,43.08403846153846
2020-04-30,23.64156862745098,269449315.0,35.141176470588235
2020-05-31,24.875294117647062,299847514.0,38.496862745098035
2020-06-30,11.903599999999999,369350433.0,40.5484
